P(bar),alt(km),T(K),H2O,CH4,CO,N2O,O3,O2,CO2,N2,MMW
0.0017163,43.26,265.69,4.667855696215077e-06,7.607186065882224e-08,7.375465029473541e-09,7.137942111763908e-09,7.832363277872999e-06,0.23576342725545887,0.0005491575519938866,0.7771214481066796,28.84448162565725
0.0018839,42.54,263.899,4.6373878175260015e-06,8.622974066802993e-08,7.490553101546607e-09,8.835023332813205e-09,8.282286849037832e-06,0.23422702940977289,0.0005468234138781823,0.772592652890642,28.844036986943603
0.0020678999999999997,41.83,261.928,4.603597566940796e-06,9.749038355194535e-08,7.633528186022061e-09,1.089094632459363e-08,8.711723706168115e-06,0.23151871121218293,0.0005413626430762387,0.7640579897781844,28.843703071691742
0.0022698999999999996,41.12,259.847,4.566831206725744e-06,1.1001932271891183e-07,7.797941657399639e-09,1.3386292297656333e-08,9.113071226208568e-06,0.2349145273399879,0.0005487316440155441,0.7752709223325677,28.843696919553278
0.0024917,40.42,257.741,4.526923753095143e-06,1.2360498416485317e-07,7.97551564094196e-09,1.6356326778674906e-08,9.467365786439413e-06,0.2354773735331892,0.000549591102701111,0.7771332704540544,28.84369268629567
0.0027351000000000003,39.72,255.666,4.482484628426678e-06,1.3875437053162307e-07,8.166951317738255e-09,1.9989561565132522e-08,9.77625970214208e-06,0.23330124840422234,0.0005441402791412656,0.7699554661652683,28.843689842875236
0.0030023,39.03,253.643,4.4359906263426876e-06,1.5489892144114015e-07,8.360577103368773e-09,2.4227922275553686e-08,1.002558422149018e-05,0.23301422979310557,0.0005430826889461629,0.7685054234248508,28.844125467329864
0.0032955000000000003,38.35,251.69400000000002,4.387427343496802e-06,1.7187566569650873e-07,8.551133375850552e-09,2.91101232378819e-08,1.0221576704526012e-05,0.23570338537155125,0.0005489251100503897,0.7762741245575354,28.845068690243902
0.0036175,37.67,249.828,4.335408757870575e-06,1.9010850178327174e-07,8.742702550329406e-09,3.485505297377778e-08,1.0370234028062519e-05,0.23551031426668295,0.0005481302631779515,0.7747447617608801,28.845837102873418
0.0039708,36.99,248.023,4.280011987381033e-06,2.0967943542071817e-07,8.934927077068118e-09,4.157194119422461e-08,1.0482026125084557e-05,0.2330529588503586,0.0005421278964951738,0.7659282470440837,28.846475339966734
0.0043587,36.32,246.267,4.222715475519164e-06,2.3012151812137559e-07,9.123683464710858e-09,4.9154609563840594e-08,1.055434420297499e-05,0.2340453832734342,0.0005440833976934781,0.7688511611504378,28.846767435505278
0.0047845000000000006,35.66,244.555,4.163028008159791e-06,2.51528091571584e-07,9.311887190618792e-09,5.772850556152934e-08,1.0597329430264499e-05,0.23616796006524662,0.0005486553444520154,0.7757328294772738,28.846843100401394
0.0052519,35.0,242.877,4.100536689373627e-06,2.741927706543922e-07,9.503093214059065e-09,6.745042294896546e-08,1.0616469242997299e-05,0.2358173025137689,0.0005475455319476938,0.7745068275309089,28.846905180228738
0.005764999999999999,34.34,241.24400000000003,4.0354719727025996e-06,2.980404445857645e-07,9.69598709631105e-09,7.834101719175887e-08,1.0605680129975621e-05,0.23327791035927137,0.000541406565331364,0.7661055470664672,28.846957067092518
0.0063281,33.69,239.667,3.968448400925182e-06,3.2261020628184493e-07,9.895483045773457e-09,9.02432598070348e-08,1.0563046279466814e-05,0.2346667661108367,0.0005446665134126234,0.7706010298767129,28.84701432710358
0.0069463,33.04,238.15400000000002,3.899571598581428e-06,3.4827163494135486e-07,1.0099370415507048e-08,1.0330995429606595e-07,1.0477093625462936e-05,0.2365689115258421,0.0005492356048382082,0.7767861545994892,28.847067853657837
0.007624799999999999,32.4,236.704,3.829705766453566e-06,3.7455187403752366e-07,1.030654388204221e-08,1.17311543325143e-07,1.0348122501715333e-05,0.23597013784681375,0.0005479692601008995,0.7747709350803581,28.847110836610046
0.0083697,31.76,235.301,3.7574201721354576e-06,4.0180001800979035e-07,1.0516854077342501e-08,1.3241726087954652e-07,1.0171283509425314e-05,0.23336698807721543,0.0005420263658888027,0.7661833853026513,28.84714644370188
0.0091873,31.12,233.94299999999998,3.6835021985620264e-06,4.299460772639397e-07,1.0727164272642793e-08,1.485306365460306e-07,9.942844518045182e-06,0.23437484244075582,0.0005441647836226049,0.76974532137867,28.84692266103044
0.010085,30.49,232.68599999999998,3.6091809312902202e-06,4.5846086218517426e-07,1.0928363017720558e-08,1.6532353008683877e-07,9.66375675127802e-06,0.23636629678122495,0.0005484522513399151,0.776661610469233,28.846593082578767
0.01107,29.86,231.571,3.533457738305019e-06,4.877250478834932e-07,1.1120450312575797e-08,1.8299803645526727e-07,9.333538076786205e-06,0.23599988800455915,0.0005473273023953823,0.7757647812548637,28.84632288334034
0.012151,29.23,230.528,3.4568991512303285e-06,5.176285287777533e-07,1.1298198275933288e-08,2.0136731757602708e-07,8.958828383283287e-06,0.23365418285754744,0.0005416604405834937,0.7683075775800414,28.84609707967643
0.013338,28.61,229.46,3.380983913626854e-06,5.475891962916773e-07,1.1436214341599106e-08,2.1992907008087878e-07,8.554114828467588e-06,0.2339747708801455,0.0005428774054708367,0.7699396250524262,28.84559642028504
0.014640999999999998,27.99,228.31,3.3050590737924654e-06,5.77781170879166e-07,1.1530017468480202e-08,2.3877014081386366e-07,8.120880231055883e-06,0.2365194255124164,0.0005498441084525357,0.7791605360639494,28.844876147180287
0.016071,27.37,227.054,3.229451107578228e-06,6.079449789226412e-07,1.158468616981536e-08,2.5774969705491447e-07,7.663954892162472e-06,0.23637796918076176,0.0005503804420863623,0.7793844309034017,28.844289431905494
0.017640999999999997,26.76,225.687,3.155485122850228e-06,6.376222739331572e-07,1.1598876133276674e-08,2.764546294918343e-07,7.1929739941114305e-06,0.23403503374214918,0.0005456260482572691,0.7722181897757714,28.843809159910766
0.019364999999999997,26.15,224.21900000000002,3.0827866326028327e-06,6.671459332490547e-07,1.1587076058398318e-08,2.9494127121265024e-07,6.700845679038402e-06,0.23247936531319632,0.0005422506462207528,0.7672853829958534,28.843632853506293
0.021256,25.54,222.68200000000002,3.011864555074466e-06,6.960635851028447e-07,1.157303546297344e-08,3.130265396812747e-07,6.188312118237036e-06,0.23626396203232872,0.0005503595170561463,0.7792023064468361,28.844111488765652
0.023333000000000003,24.94,221.109,2.9443128605967974e-06,7.236411922869047e-07,1.1581101336940924e-08,3.3036304752154195e-07,5.665110764510684e-06,0.2370922134858711,0.0005517181526889587,0.7814780619556925,28.844489625249473
0.025612,24.34,219.52599999999998,2.879440188544043e-06,7.506469332743287e-07,1.1643238440097827e-08,3.46906197705431e-07,5.130195160442165e-06,0.23552554342276968,0.0005476056774532576,0.7759413344283526,28.844800123072943
0.028114,23.75,217.972,2.8188213047860447e-06,7.753225328933687e-07,1.1819492723090972e-08,3.621396035926955e-07,4.5995935082404055e-06,0.23200565902098175,0.0005390425234814267,0.764042098402502,28.845055323429225
0.03086,23.16,216.47799999999998,2.763128365486759e-06,7.990251064464899e-07,1.2148998611466285e-08,3.763026808074494e-07,4.067738556498625e-06,0.23567646199257122,0.000547469634713764,0.7750625959722375,28.845968568469832
0.033875,22.57,215.072,2.7115259765566967e-06,8.205170330603753e-07,1.2681943765465887e-08,3.893508323216718e-07,3.5484002039444957e-06,0.23724743510274077,0.0005510552621520803,0.7793024970330293,28.846756615271417
0.037183999999999995,21.99,213.762,2.664782316468951e-06,8.401824019715715e-07,1.3440135918409275e-08,4.00978920575217e-07,3.0607782474252855e-06,0.23648640906491086,0.0005492365782349192,0.7760602069372251,28.847390336454854
0.040816000000000005,21.42,212.541,2.6230126119944864e-06,8.579273247000334e-07,1.444792206023531e-08,4.114075834961901e-07,2.607593467737111e-06,0.2337319622067705,0.0005427979837376039,0.7664185525131912,28.847910542008645
0.044804,20.84,211.405,2.585141413270972e-06,8.740163960531604e-07,1.5764750669445094e-08,4.208011259246698e-07,2.1841727760140515e-06,0.23378606583666925,0.0005430127992028382,0.766802822738955,28.847726438103276
0.04918,20.27,210.358,2.55227297685348e-06,8.878948204670516e-07,1.735462404925781e-08,4.287863411524777e-07,1.8108580275050984e-06,0.23670392904363668,0.0005499969053572713,0.7773243323851319,28.84690626311283
0.053985,19.7,209.40900000000002,2.5235431019597794e-06,9.00100322872872e-07,1.9225608073640942e-08,4.357059221317774e-07,1.4818141057364434e-06,0.23710203838557684,0.0005510904261751724,0.7794065688695838,28.846239802552933
0.059258000000000005,19.13,208.56400000000002,2.4996527514465683e-06,9.106755798524606e-07,2.135813552982154e-08,4.415223134705511e-07,1.1982805918053151e-06,0.23546079865157624,0.0005474144866221942,0.7746495705607674,28.84568742318386
0.065047,18.57,207.835,2.4781437541999478e-06,9.197571564677005e-07,2.3842424711806237e-08,4.4651718060893304e-07,9.4497894305028e-07,0.2321301685214222,0.0005397846289888523,0.7642135793333928,28.845229382004383
0.071401,18.01,207.24400000000003,2.4616279170284355e-06,9.270633872784574e-07,2.6474289513788562e-08,4.504135525307911e-07,7.384490207963394e-07,0.23488044108894224,0.0005467385990470578,0.7735339985835478,28.845003666952977
0.078376,17.44,206.815,2.447743091127269e-06,9.328588670921302e-07,2.9190995360465917e-08,4.535705526722966e-07,5.715707621203352e-07,0.23639329855821845,0.0005507832129160948,0.7787136070201959,28.84483825019373
0.08603200000000001,16.88,206.565,2.437526317435124e-06,9.372204137560283e-07,3.173697354149822e-08,4.559694033374406e-07,4.479783106447303e-07,0.23590289659882369,0.0005500631495570088,0.7772575298944602,28.84470414250778
0.094436,16.32,206.49200000000002,2.429921350551497e-06,9.406003990376401e-07,3.4161814244981826e-08,4.5776736773029797e-07,3.5434184045130015e-07,0.23384480376231798,0.0005456158496112251,0.7706091134744927,28.844591306540757
0.10366,15.76,206.592,2.424121603079641e-06,9.431780645806874e-07,3.6428175461808054e-08,4.5905363990691134e-07,2.83714065216197e-07,0.2324996100906184,0.0005425873838323595,0.766348233782189,28.844441533016198
0.11379,15.2,206.86599999999999,2.4201270750195537e-06,9.449534103851705e-07,3.835681554825505e-08,4.5991741392332324e-07,2.3481622010373235e-07,0.2352203105861884,0.0005485196126839783,0.7756227873393086,28.844173703240184
0.12490000000000001,14.64,207.291,2.417976175294891e-06,9.459093658183537e-07,3.976207003503428e-08,4.6044318941157404e-07,2.0570646272510204e-07,0.23596281370358266,0.0005499065944716855,0.7783245117693682,28.843953081617066
0.1371,14.08,207.828,2.4348376927792965e-06,9.463958788513129e-07,4.087979105167639e-08,4.607107715797016e-07,1.8636243237738146e-07,0.23476873985333782,0.0005468367262376675,0.7745970163536339,28.84376767195061
0.1505,13.52,208.454,2.5023989894878783e-06,9.468738565679044e-07,4.175867257805914e-08,4.6097365932382696e-07,1.7345772412788823e-07,0.23223265011091787,0.0005406881652384603,0.7664069471485269,28.843608895768845
0.16519999999999999,12.95,209.18599999999998,2.721329854319554e-06,9.473603696008637e-07,4.249938867073964e-08,4.6115204743591204e-07,1.6407000244671008e-07,0.23283185453871266,0.0005419573563283591,0.7683441979444295,28.843638779632844
0.18134,12.38,210.067,3.0999362170146458e-06,9.47590823142792e-07,4.3175577771680284e-08,4.6121542215994233e-07,1.5669535446115505e-07,0.2343474183174761,0.0005454284206961384,0.7732012795977049,28.84375638570207
0.19905,11.81,211.15200000000002,3.6433456688810574e-06,9.477786001028815e-07,4.3842954158471265e-08,4.6126706082396695e-07,1.5032568434338373e-07,0.2342982908751882,0.0005452668038209286,0.7729188507240858,28.843850248732142
0.21849000000000002,11.24,212.53400000000002,4.428328046073579e-06,9.481456187066928e-07,4.453019649410808e-08,4.6136799094001506e-07,1.4446931931442682e-07,0.23313654917536625,0.0005425233174088876,0.7689850027281956,28.84392370934956
0.23984,10.66,214.53400000000002,5.752254837757655e-06,9.481456187066928e-07,4.528360886988555e-08,4.6138442142402296e-07,1.3883428824773291e-07,0.2315055495723144,0.00053867996747571,0.763464822549184,28.84402204741574
0.26327,10.07,217.963,8.589483619205198e-06,9.481541540230605e-07,4.611379641639053e-08,4.6152055972008784e-07,1.3324959282103098e-07,0.2316040348449219,0.0005386967755830502,0.7629981126090046,28.84466191565971
0.28898,9.47,223.054,1.8026556161160044e-05,9.486662730051228e-07,4.706377712811628e-08,4.6152055972008784e-07,1.2754121054812713e-07,0.23249278396212042,0.0005405775307455131,0.765231173527788,28.84510199038212
0.31721,8.86,228.88,3.667370450627061e-05,9.487004142705937e-07,4.8140272566702364e-08,4.6165435080415165e-07,1.2164978293485844e-07,0.23303853609575076,0.0005416817471418588,0.7664134714686315,28.845311532990454
0.3482,8.23,234.718,7.194087422830683e-05,9.491698566708176e-07,4.9407959091925076e-08,4.6167312850016056e-07,1.1554218936874334e-07,0.2329116109066977,0.0005412383325878966,0.7654429673859328,28.845178182201813
0.38222,7.59,240.49599999999998,0.00013451573242342005,9.492552098344946e-07,5.086280376680068e-08,4.6179987794822103e-07,1.0926908987068709e-07,0.234305859018421,0.0005442717522640025,0.7698677876473967,28.844237629409164
0.41955000000000003,6.93,246.13,0.00024105920597222795,9.497246522347185e-07,5.2596219829627304e-08,4.618256972802333e-07,1.0264149397640316e-07,0.23509000352245799,0.0005458939997258867,0.7723706580093146,28.842470701174214
0.46054,6.25,251.537,0.00041304860475933626,9.503050537477226e-07,5.466705828676028e-08,4.618256972802333e-07,9.556205548839073e-08,0.23468979445250054,0.0005447868337107568,0.770990083300917,28.839550333922098
0.5055299999999999,5.56,256.657,0.0006718210460980113,9.508939905770944e-07,5.7125656166478186e-08,4.6197122442430267e-07,8.803770670496349e-08,0.23308647938188196,0.0005409084859759264,0.7656651100918461,28.835056004388996
0.55491,4.86,261.46,0.0010430999463828829,9.514914627228338e-07,6.001727198382077e-08,4.6197826606030607e-07,8.019966182543186e-08,0.23480602934292868,0.000545058738698586,0.7718487796447756,28.82829641618261
0.60911,4.14,265.947,0.001559892014156602,9.52182823348618e-07,6.344257979534513e-08,4.619993909683161e-07,7.209120096936825e-08,0.23515615019821376,0.0005460290033601345,0.7735033945641037,28.81903566557404
0.66862,3.42,270.14,0.002234122259990852,9.534119089055678e-07,6.72950801910732e-08,4.621308348403788e-07,6.431026506444738e-08,0.23417919083126543,0.0005438955371614206,0.7707216063174399,28.806979340897524
0.73393,2.68,274.191,0.0031153958087856556,9.546751357279882e-07,7.171084745219714e-08,4.621308348403788e-07,5.695389383805513e-08,0.23352410093208292,0.0005425724997315861,0.7690500861692656,28.79133495616209
0.80563,1.93,278.339,0.004179000737331293,9.562405903436109e-07,7.662281533035771e-08,4.621308348403788e-07,5.043795284487296e-08,0.23471864306341628,0.0005456727470398479,0.7736005085056261,28.773003723027934
0.88432,1.16,282.335,0.0055355810973301235,9.582186256637692e-07,8.22327520362716e-08,4.621308348403788e-07,4.478369792068703e-08,0.2343947302522641,0.000545203379176666,0.7730713078846057,28.74945682014711
0.9707100000000001,0.39,286.211,0.007182583950196106,9.601974854178945e-07,8.839764701055466e-08,4.622693203484449e-07,4.03570335136933e-08,0.23283805963169507,0.0005418249665286073,0.7683972383203449,28.720485601405446
1.017,0.0,288.111,0.008043155089141038,9.611961174329162e-07,9.156663927155678e-08,4.6236086161648854e-07,3.8420247692821545e-08,0.23203841729837085,0.0005400740832764849,0.7659669329986563,28.705298214818622
