P(bar),alt(km),T(K),H2O,CH4,CO,N2O,O3,O2,CO2,N2,MMW
0.00010575999999999999,58.2,174.023,5.610292853758993e-06,6.756819380050485e-06,1.168506252127901e-05,2.952946398956354e-14,3.933191141834197e-08,0.023813732129535043,0.015592324608624133,0.9651023495375975,28.242874811889557
0.00011827,57.61,179.21099999999998,7.411042790202558e-06,8.792762632443712e-06,7.16231577264153e-06,3.236007061082148e-14,3.763093055194658e-08,0.023813732129535043,0.015592324608624133,0.9590452085480656,28.244289076327505
0.00013220000000000001,57.01,182.97799999999998,8.675002418616345e-06,1.0432682647224887e-05,4.4618996100038655e-06,3.773342555287044e-14,3.742157906069793e-08,0.023813732129535043,0.015592324608624133,0.9791854686241622,28.23936356878759
0.00014773,56.41,185.00799999999998,9.85260455689005e-06,1.2002818831589828e-05,2.943957369300862e-06,4.5745481582532676e-14,3.8651519071783795e-08,0.023813732129535043,0.015592324608624133,0.9893025337340489,28.23693864613991
0.00016501,55.8,185.832,1.104983339746832e-05,1.3974212040848035e-05,2.0952725927152047e-06,5.658814423345283e-14,4.1373088458016375e-08,0.023813732129535043,0.015592324608624133,0.983886116762068,28.23814326067645
0.00018425,55.19,185.968,1.2247062238046597e-05,1.54222265219846e-05,1.6274701432859732e-06,7.016546073880863e-14,4.558628721939566e-08,0.023813732129535043,0.015592324608624133,0.9664672739381048,28.242252722709427
0.00020565,54.58,185.669,1.3100823788295035e-05,1.6791734193902918e-05,1.3541770366737514e-06,8.731701780829522e-14,5.0375202581708755e-08,0.023813732129535043,0.015592324608624133,0.9680051593910666,28.24183685194245
0.00022945,53.98,185.12900000000002,1.3689624857431894e-05,1.8361870378267874e-05,1.180611565960409e-06,1.0962603609448066e-13,5.6655747319168596e-08,0.023813732129535043,0.015592324608624133,0.9799512661807541,28.238936166238638
0.00025590000000000004,53.38,184.544,1.4278425926568742e-05,1.971393209258212e-05,1.056047428667458e-06,1.3673269272178075e-13,6.516065165114529e-08,0.023813732129535043,0.015592324608624133,0.9785794828344876,28.239223030501837
0.0002853,52.78,184.041,1.4867226995705595e-05,2.0760689548825416e-05,9.587469616202426e-07,1.7031616110958641e-13,7.458146875733497e-08,0.023813732129535043,0.015592324608624133,0.9668660688252665,28.241999908294808
0.00031795999999999994,52.19,183.703,1.530882779755824e-05,2.191212275069305e-05,8.795861470663127e-07,2.161336072672361e-13,8.494436757414368e-08,0.023813732129535043,0.015592324608624133,0.9563613767945588,28.244543071596734
0.00035422,51.6,183.59099999999998,1.5387334606776487e-05,2.3386306168235695e-05,8.123077742365053e-07,2.746647950288403e-13,9.904942429702209e-08,0.023813732129535043,0.015592324608624133,0.9726948314128914,28.240530302440945
0.00039447,51.01,183.727,1.59466956224565e-05,2.4415617666874945e-05,7.544968864494779e-07,3.4638948822851207e-13,1.1454143464942303e-07,0.023813732129535043,0.015592324608624133,0.9774632317392196,28.23936227497674
0.00043913000000000003,50.43,184.102,1.59466956224565e-05,2.5427483207910132e-05,7.055352425826379e-07,4.4378154655314883e-13,1.3123721607650363e-07,0.023813732129535043,0.015592324608624133,0.9722849262715438,28.240576515446378
0.00048865,49.84,184.683,1.59466956224565e-05,2.645679470654936e-05,6.603456328242649e-07,5.558064018181853e-13,1.5104710093590775e-07,0.023813732129535043,0.015592324608624133,0.9598257033320937,28.24358016542192
